wav_filepath,wav_filesize,duration,transcript
data/raw/audio/sm04500102059.wav,60974,1.904,i uđe u sobu
data/raw/audio/sm04500104030.wav,131406,4.105,kad je vidjela joringela bjes ju spopade
data/raw/audio/sm04500805087.wav,91000,2.842,svadba im bijaše sjajna i raskošna
data/raw/audio/sm04500502053.wav,83164,2.598,prije nego što je izminulo pol sata
data/raw/audio/sm04500202093.wav,44572,1.391,krojač prihvati
data/raw/audio/sm04501002056.wav,45886,1.433,da su ga slabine zaboljele
data/raw/audio/sm04500704075.wav,59884,1.87,a ružica s njegovim bratom
data/raw/audio/sm04500203051.wav,143094,4.47,kad je stigao do ruba kojim se počinje šuma
data/raw/audio/sm04501001018.wav,72684,2.27,pusti me oče jednom u šumu da sječem drva
data/raw/audio/sm04500701055.wav,76444,2.388,stavila pred postelju stručak cvijeća
data/raw/audio/sm04501001055.wav,225324,7.04,okrenu da ih kori u sav glas sram vas bilo vi gadure što jurite za momkom preko polja
data/raw/audio/sm04500203029.wav,119164,3.723,nismo stvoreni niti smo kadri da izdržimo pokraj čovjeka
data/raw/audio/sm04500802056.wav,63994,1.998,na kraju će sedmi
data/raw/audio/sm04500605089.wav,43724,1.365,htjela bi da bude
data/raw/audio/sm04500203099.wav,91766,2.866,na svaki njegov udar odoše nas sedmorica
data/raw/audio/sm04500504075.wav,41966,1.31,mjera njena
data/raw/audio/sm04500605032.wav,35238,1.1,zapovijedati
data/raw/audio/sm04500301052.wav,75246,2.35,kraljevna vrlo žedna
data/raw/audio/sm04500802008.wav,43176,1.348,onda
data/raw/audio/sm04500503062.wav,118442,3.7,nadasve lijepa cipelica sva od zlata
data/raw/audio/sm04500602081.wav,77112,2.408,što se pružala naokolo podno dvora
data/raw/audio/sm04501001048.wav,37164,1.16,ali prekasno
data/raw/audio/sm04500401001.wav,32698,1.02,matovilka
data/raw/audio/sm04500504095.wav,37326,1.165,i drugo oko
data/raw/audio/sm04500302078.wav,44798,1.399,dok se nije uvečerilo
data/raw/audio/sm04500701016.wav,74522,2.327,kad se sestre potom obazreše oko sebe
data/raw/audio/sm04501001075.wav,143320,4.477,ali tek što je dodirnula sestru osta za nju čvrsto uhvaćena
data/raw/audio/sm04500203058.wav,99500,3.108,pošto se uspeo drvetu do sredine
data/raw/audio/sm04500104062.wav,142284,4.445,teška vrata širom se otvoriše kad ih je dodirnuo čarobnim cvijetom
data/raw/audio/sm04500203113.wav,114364,3.572,inače bih poput vjeverice morao skakutati s drveta na drvo
data/raw/audio/sm04500901006.wav,63004,1.968,da joj se i sunce
data/raw/audio/sm04500402034.wav,106280,3.32,čarobnica nije ništa zamijetila sve dok matovilka
data/raw/audio/sm04500503048.wav,74042,2.312,još raskošniju nego što bijaše jučeranja
data/raw/audio/sm04500703005.wav,59118,1.846,ni makac iz procijepa
data/raw/audio/sm04500704061.wav,124044,3.875,djevojke nadale u bijeg ali ih medvjed uze zvati
data/raw/audio/sm04500203050.wav,173102,5.408,i uze krojačić put pod noge a za njim pak krenu stotina konjanika
data/raw/audio/sm04500102042.wav,117816,3.68,ali bakice kakvu to strašnu njušku imaš
data/raw/audio/sm04500204112.wav,85244,2.663,koji nije ništa drugo doli kukavan krojač
data/raw/audio/sm04500702042.wav,34364,1.073,po miloj volji
data/raw/audio/sm04500603009.wav,66764,2.085,voda kao da je usključala
data/raw/audio/sm04500801031.wav,126444,3.95,bila ona ljepša i od same kraljice svoje maćehe
data/raw/audio/sm04500901008.wav,139484,4.357,svaki put iznova divilo kad bi joj sinulo u lice
data/raw/audio/sm04501002058.wav,65966,2.06,a već sve bačve ispijene
data/raw/audio/sm04500501003.wav,35404,1.105,razboljela se žena
data/raw/audio/sm04500803062.wav,61764,1.929,svidio se češalj djevojci
data/raw/audio/sm04500504098.wav,140126,4.378,kažnjene sljepoćom za sav ostatak života
data/raw/audio/sm04500602053.wav,95404,2.98,a to ondje velika dvorana
data/raw/audio/sm04500601044.wav,30684,0.958,nisam na to ni pomislio
data/raw/audio/sm04500703033.wav,62518,1.952,počela ona trzati i potezati
data/raw/audio/sm04500201046.wav,71804,2.243,ne smije to proći samo tako
data/raw/audio/sm04500603027.wav,34844,1.087,kad je stupio unutra
data/raw/audio/sm04500401064.wav,19566,0.61,te mu reče
data/raw/audio/sm04500601095.wav,33324,1.04,i blagavaonica
data/raw/audio/sm04500805033.wav,98126,3.065,i šumske ptice dolijetale i oplakivale snjeguljicu
data/raw/audio/sm04500204082.wav,32108,1.002,bijesna životinja
data/raw/audio/sm04500701056.wav,166070,5.188,kotlić bio od mjedi ali se onako očišćen sjao kao zlato
data/raw/audio/sm04501002031.wav,93724,2.928,sjetio se on sijedoga čovuljka
data/raw/audio/sm04500902011.wav,59724,1.865,kad se žaba našla na stolici
data/raw/audio/sm04500602044.wav,77650,2.425,te uroni u dubinu
data/raw/audio/sm04500601059.wav,40844,1.275,odvesla na more
data/raw/audio/sm04500101027.wav,74906,2.339,jer možeš pasti i razbiti bocu
data/raw/audio/sm04500802119.wav,86444,2.7,pa stoga stade preda nj te ga upita
data/raw/audio/sm04501001041.wav,169004,5.28,umalo što ne izvališe oči bjehu radoznale i u čudu kakva je to neobična ptica
data/raw/audio/sm04500204033.wav,88686,2.77,neka ga pričekaju a on sam zađe u šumu
data/raw/audio/sm04500501046.wav,36684,1.145,a kad bi joj uvečer
data/raw/audio/sm04500302076.wav,81904,2.558,pa se naljutio i nije htio ni da govori s djevojkom
data/raw/audio/sm04500202022.wav,75280,2.351,i hitnu ga tako visoko
data/raw/audio/sm04500201014.wav,154094,4.814,odmjerite mi pet šest deka ako bude i deset ništa ne smeta
data/raw/audio/sm04500802092.wav,105444,3.294,da nam kuću držiš da nam kuhaš postelje rediš
data/raw/audio/sm04500702077.wav,115644,3.612,a brada mu bijela bjelcata cio lakat duga
data/raw/audio/sm04500501078.wav,37804,1.18,ode na majčin grob
data/raw/audio/sm04500401080.wav,181486,5.67,a nije imala ni stepenica ni vrata nego samo malen prozor gore visoko
data/raw/audio/sm04500101076.wav,178560,5.579,kao da krećeš u školu a tako je lijepo i zabavno ovdje u šumi
data/raw/audio/sm04500101086.wav,94410,2.949,i donesem kitu svježeg cvijeća
data/raw/audio/sm04500601007.wav,51404,1.605,rijetko je kad štogod uhvatio
data/raw/audio/sm04500805036.wav,61806,1.93,mnogo je vremena snjeguljica tako
data/raw/audio/sm04500803030.wav,127600,3.986,i pusti da je ona opaše novim pojasom
data/raw/audio/sm04500203043.wav,125732,3.928,to bi bilo nešto za deliju kakav sam ja
data/raw/audio/sm04500604017.wav,64684,2.02,pedlja a pred caricom
data/raw/audio/sm04500601004.wav,31564,0.985,pravi svinjac
data/raw/audio/sm04500804059.wav,51004,1.593,ne smijem nikoga u kuću pustiti
data/raw/audio/sm04500902070.wav,53324,1.665,što je dugo tugovalo
data/raw/audio/sm04500203080.wav,78930,2.465,sva sreća reče on
data/raw/audio/sm04500504057.wav,69646,2.175,pristajala joj je kao slivena
data/raw/audio/sm04500402017.wav,34808,1.086,bi li ga htjela za muža
data/raw/audio/sm04500602029.wav,104142,3.253,i sva nekako kao da se sivilom prebojila
data/raw/audio/sm04500804040.wav,78124,2.44,zaprijeti opaka žena
data/raw/audio/sm04500401083.wav,28452,0.888,i povikala
data/raw/audio/sm04500603058.wav,26364,0.823,ženo
data/raw/audio/sm04500203095.wav,41388,1.292,neznanom deliji
data/raw/audio/sm04500702002.wav,45402,1.417,lezi kraj vatre ali
data/raw/audio/sm04500804002.wav,57964,1.81,lukavo će stara
data/raw/audio/sm04500203038.wav,174534,5.453,budući da je tako veliki ratnik kralj mu iznosi jednu svoju ponudu i molbu
data/raw/audio/sm04500603025.wav,160044,5.0,na palači visok toranj s divnim ukrasima pred ulazom straža stoji
data/raw/audio/sm04500101057.wav,44628,1.393,crvenkapice
data/raw/audio/sm04500204046.wav,143406,4.48,tako je žestoko zabio svoj rog u stablo da ga više nije mogao izvući
data/raw/audio/sm04500402087.wav,128604,4.018,gdje je uboga djevojka morala živjeti u teškom jadu i golemoj nevolji
data/raw/audio/sm04501002100.wav,131806,4.118,ako ovamo dojedriš na takvu jedrenjaku
data/raw/audio/sm04500601097.wav,81164,2.535,i najboljim posuđem i kućnim potrebštinama
data/raw/audio/sm04500204125.wav,78844,2.462,uvečer u obični sat
data/raw/audio/sm04501002055.wav,97804,3.055,toliko je navro ispijati pusto ono vino
data/raw/audio/sm04500202023.wav,83004,2.592,da su ga oči jedva još vidjele
data/raw/audio/sm04500101020.wav,51314,1.602,hajde crvenkapice
data/raw/audio/sm04500602009.wav,64034,2.0,neka nam daruje dvor
data/raw/audio/sm04500802026.wav,86802,2.711,snjeguljica uze iz svakog tanjurića
data/raw/audio/sm04500805105.wav,70844,2.212,najprije pomisli da i ne ide na svadbu
data/raw/audio/sm04500601014.wav,32924,1.028,čujeder ribaru
data/raw/audio/sm04500202090.wav,79668,2.488,kad si tako odvažan i junačan momak
data/raw/audio/sm04500502090.wav,46684,1.458,i nikako je nije puštao od sebe
data/raw/audio/sm04500201018.wav,116022,3.624,bog neka mi blagoslovi ovaj zalogaj
data/raw/audio/sm04501001035.wav,280284,8.758,bukvan priđe drvetu i poče ga sjeći a kad je stablo palo ona među korijenjem tusta guska
data/raw/audio/sm04500202070.wav,73084,2.283,i pozva ga da bere i jede
data/raw/audio/sm04500805091.wav,33884,1.058,prekrasno ruho
data/raw/audio/sm04500201088.wav,131188,4.098,da vidi ima li tu štogod što bi mogao sa sobom ponijeti
data/raw/audio/sm04500604005.wav,49642,1.55,na glavi joj velika zlatna
data/raw/audio/sm04500503002.wav,122284,3.82,kraljević pak počekao dok nije došao otac
data/raw/audio/sm04500801042.wav,130422,4.074,djevojčica briznu u plač i moleći lovca
data/raw/audio/sm04500204108.wav,50684,1.583,kako je s mladim gospodinom
data/raw/audio/sm04500802046.wav,32690,1.02,reče prvi
data/raw/audio/sm04500401020.wav,58926,1.84,sve joj zazubice rasle
data/raw/audio/sm04500101022.wav,46902,1.464,bolesna je i nemoćna
data/raw/audio/sm04500805013.wav,55804,1.742,te je uzeše oplakivati
data/raw/audio/sm04500602059.wav,67288,2.101,po svim sobama prostrti sagovi
data/raw/audio/sm04500301053.wav,45166,1.41,sjaha s konja
data/raw/audio/sm04500704024.wav,57084,1.782,i nestade među
data/raw/audio/sm04500504066.wav,56526,1.765,vinuo se s pepeljugom
data/raw/audio/sm04501002099.wav,114284,3.57,da mu pribavi brod koji plovi kopnom i vodom
data/raw/audio/sm04500601110.wav,33244,1.038,ali još ćemo
data/raw/audio/sm04500102027.wav,39798,1.242,navukla je kapu
data/raw/audio/sm04500602060.wav,54474,1.701,a stolovi se gotovo prolamaju
data/raw/audio/sm04500902016.wav,175484,5.482,učinila je doduše tako ali se moglo jasno vidjeti da joj baš nije po volji
data/raw/audio/sm04500203034.wav,68740,2.147,njega i sve njegove
data/raw/audio/sm04500202098.wav,97724,3.053,počeli oni jesti mljaskati
data/raw/audio/sm04500603060.wav,59004,1.843,ne mogu takvo što od njega tražiti
data/raw/audio/sm04500402053.wav,112686,3.52,nego se pred njim ustobočila čarobnica zlopogleđa
data/raw/audio/sm04500602003.wav,85164,2.66,a žena će mužu
data/raw/audio/sm04500603075.wav,101042,3.156,tamo i mutno i nekakav nemio vjetar
data/raw/audio/sm04500704001.wav,74950,2.341,pošto je tako istresao ljutinu
data/raw/audio/sm04500805057.wav,48844,1.525,a da ne gledam snjeguljicu
data/raw/audio/sm04500301018.wav,187886,5.87,te pusti da tri kapi krvi kapnu na bijel rupčić što ga je pod prst podmetnula
data/raw/audio/sm04500901028.wav,60924,1.903,okrenula kraljevna u plač
data/raw/audio/sm04500201083.wav,163254,5.1,pa zareda pred njim otklapati ćupove u kojima bijaše pekmez
data/raw/audio/sm04500604097.wav,69804,2.18,carevi kleče pred njom
data/raw/audio/sm04500603042.wav,94524,2.953,ribar stajao i neko se vrijeme obazirao oko sebe
data/raw/audio/sm04500902033.wav,51404,1.605,umor me presvojio
data/raw/audio/sm04500604008.wav,42604,1.33,drži žezlo a u drugoj
data/raw/audio/sm04500302110.wav,96278,3.007,a zašto upita stari kralj
data/raw/audio/sm04500805016.wav,68122,2.127,ali ona bijaše tako svježa
data/raw/audio/sm04500402047.wav,81804,2.555,pa kad je kraljević došao pod kulu i viknuo
data/raw/audio/sm04500402082.wav,66992,2.092,tako je on povede u svoju kraljevinu
data/raw/audio/sm04500402026.wav,43862,1.369,od nje ću plesti ljestve
data/raw/audio/sm04500901025.wav,90740,2.834,ali koje li koristi lopta bila
data/raw/audio/sm04501001054.wav,256684,8.02,valjalo im neprestance za njim cupkati i vrludati čas lijevo čas desno kako su već njega noge vodile
data/raw/audio/sm04500901085.wav,81244,2.538,sada je pred vratima navrla da uđe k meni
data/raw/audio/sm04501002051.wav,45416,1.418,napit ćeš se do mile volje
data/raw/audio/sm04500701043.wav,76040,2.375,nego su sve povjerljivo dolazile k njima
data/raw/audio/sm04500901049.wav,140364,4.385,i da spavam u tvojoj postelji to ako mi obećaš
data/raw/audio/sm04500602078.wav,106540,3.328,ujutro se žena prva probudi
data/raw/audio/sm04500704005.wav,133164,4.16,dogodilo se da je malo zatim majka poslala kćeri u grad
data/raw/audio/sm04500701017.wav,44044,1.375,pripovjediše to majci
data/raw/audio/sm04500601054.wav,72124,2.252,sigurno će ti ju ispuniti hajde kreni
data/raw/audio/sm04500805118.wav,48204,1.505,i tako je plesala
data/raw/audio/sm04500701034.wav,150574,4.704,pa im majka dala ime snjeguljica i ružica
data/raw/audio/sm04500805107.wav,68124,2.127,htjede ona vidjeti mladu kraljicu
data/raw/audio/sm04500201047.wav,131244,4.1,i na nj vezom izveze u krupnim slovima
data/raw/audio/sm04500102046.wav,40912,1.277,i proguta
data/raw/audio/sm04500603008.wav,95964,2.998,more ondje bilo tamnosivo
data/raw/audio/sm04501001067.wav,167244,5.225,zbilo se tako da je jednog dana najstariji sin krenuo u šumu da nasječe drva
data/raw/audio/sm04500703011.wav,82492,2.576,i to rekavši izvuče iz epa
data/raw/audio/sm04500201048.wav,95066,2.969,što rekoh cio grad
data/raw/audio/sm04500704076.wav,79884,2.495,i podjele oni među sobom golemo blago
data/raw/audio/sm04500102011.wav,56888,1.776,kad je stigla pred kućicu
data/raw/audio/sm04500103027.wav,66368,2.073,kad bijahu sami među sobom
data/raw/audio/sm04500301012.wav,190044,5.938,još je mati pridijelila kćeri jednu svoju dvorkinju sobaricu da joj bude družbenicom i pratiljom na putu
data/raw/audio/sm04500804027.wav,63646,1.988,i ne otvaraj nikome
data/raw/audio/sm04500204146.wav,80124,2.502,puta tako dočekao da nisu imali nimalo volje
data/raw/audio/sm04500803031.wav,197804,6.18,ali je stara brže bolje uze pritezati i toliko je stegla da je snjeguljica ostala bez daha
data/raw/audio/sm04500204061.wav,32278,1.007,divljeg vepra
data/raw/audio/sm04500204029.wav,46204,1.442,i uze konop i sjekiru
data/raw/audio/sm04500604062.wav,26122,0.815,a vjetar
data/raw/audio/sm04500203042.wav,206908,6.465,a pridodat će mu još i stotinu konjanika koji će krenuti s njime u pothvat i biti mu na pomoći
data/raw/audio/sm04500101036.wav,113358,3.541,baka živjela u kući što se nalazila u šumi
data/raw/audio/sm04500203073.wav,159702,4.989,drijem ih prevlada i oči im se opet sklopiše
data/raw/audio/sm04500102015.wav,48714,1.521,te ona pomisli
data/raw/audio/sm04500804070.wav,67404,2.105,ću je prepoloviti
data/raw/audio/sm04500103017.wav,58596,1.83,odmah bi se pretvorila u pticu
data/raw/audio/sm04500504063.wav,67726,2.115,i poblijedile od pustog bijesa
data/raw/audio/sm04500402069.wav,42118,1.315,sa svoja dva blizanaca
data/raw/audio/sm04500805026.wav,47360,1.479,i napisaše na njemu
data/raw/audio/sm04500203105.wav,135796,4.242,i poče zvjerati naokolo i obazirati se i lijevo i desno
data/raw/audio/sm04500802106.wav,148196,4.63,izjutra patuljci odlazili u brda da traže i kopaju rude i zlato
data/raw/audio/sm04500203096.wav,72762,2.272,te on posla jednoga između svojih dvorana
data/raw/audio/sm04500802058.wav,74568,2.329,pa kad vidje da mu je postelja uleknuta
data/raw/audio/sm04500401008.wav,64376,2.01,i nitko se nije usuđivao onamo
data/raw/audio/sm04501001025.wav,98284,3.07,umjesto vina dobio je bocu kisela piva
data/raw/audio/sm04500204124.wav,38444,1.2,reče krojačić
data/raw/audio/sm04500104015.wav,105806,3.305,jao što ću jadan sad
data/raw/audio/sm04500103020.wav,115974,3.623,imala je u dvorcu već sedam tisuća rijetkih ptica
data/raw/audio/sm04500704031.wav,87404,2.73,sunce na smiraju obasjavalo dragulje
data/raw/audio/sm04500301094.wav,128522,4.015,da sa sebe svuče kraljevsko ruho i da se odjene u njezino loše
data/raw/audio/sm04500704058.wav,50284,1.57,nego tu opaku grdobu
data/raw/audio/sm04500901058.wav,114204,3.567,u ustima je iznijela loptu i bacila ju u travu
data/raw/audio/sm04500201049.wav,48356,1.51,nastavi krojačić
data/raw/audio/sm04500605088.wav,63244,1.975,promuca ribar
data/raw/audio/sm04500101069.wav,22336,0.697,i da
data/raw/audio/sm04500702028.wav,95724,2.99,snjeguljice ružice vraglosta dječice
data/raw/audio/sm04500703024.wav,86458,2.7,bjaše kao da kani u vodu skočiti
